№,Code,Brow.,Chart,Applᵈ,Goog,Twtr.,One,FB,FBM,Sams.,Wind.,GMail,SB,DCM,KDDI,Name,Date,Keywords
187,U+1F468 U+1F3FE U+200D U+2696 U+FE0F,👨🏾‍⚖️,—,,,,—,—,—,—,—,—,—,—,—,man judge: medium-dark skin tone,2015,justice | man | medium-dark skin tone | scales
188,U+1F468 U+1F3FF U+200D U+2696 U+FE0F,👨🏿‍⚖️,—,,,,—,—,—,—,—,—,—,—,—,man judge: dark skin tone,2015,dark skin tone | justice | man | scales
189,U+1F469 U+200D U+2696 U+FE0F,👩‍⚖️,—,,,,—,—,—,—,—,—,—,—,—,woman judge,2010,judge | scales | woman
190,U+1F469 U+1F3FB U+200D U+2696 U+FE0F,👩🏻‍⚖️,—,,,,—,—,—,—,—,—,—,—,—,woman judge: light skin tone,2015,judge | light skin tone | scales | woman
191,U+1F469 U+1F3FC U+200D U+2696 U+FE0F,👩🏼‍⚖️,—,,,,—,—,—,—,—,—,—,—,—,woman judge: medium-light skin tone,2015,judge | medium-light skin tone | scales | woman
192,U+1F469 U+1F3FD U+200D U+2696 U+FE0F,👩🏽‍⚖️,—,,,,—,—,—,—,—,—,—,—,—,woman judge: medium skin tone,2015,judge | medium skin tone | scales | woman
193,U+1F469 U+1F3FE U+200D U+2696 U+FE0F,👩🏾‍⚖️,—,,,,—,—,—,—,—,—,—,—,—,woman judge: medium-dark skin tone,2015,judge | medium-dark skin tone | scales | woman
194,U+1F469 U+1F3FF U+200D U+2696 U+FE0F,👩🏿‍⚖️,—,,,,—,—,—,—,—,—,—,—,—,woman judge: dark skin tone,2015,dark skin tone | judge | scales | woman
195,U+1F468 U+200D U+1F33E,👨‍🌾,—,,,,—,—,—,—,—,—,—,—,—,man farmer,2010,farmer | gardener | man | rancher
196,U+1F468 U+1F3FB U+200D U+1F33E,👨🏻‍🌾,—,,,,—,—,—,—,—,—,—,—,—,man farmer: light skin tone,2015,farmer | gardener | light skin tone | man | rancher
197,U+1F468 U+1F3FC U+200D U+1F33E,👨🏼‍🌾,—,,,,—,—,—,—,—,—,—,—,—,man farmer: medium-light skin tone,2015,farmer | gardener | man | medium-light skin tone | rancher
198,U+1F468 U+1F3FD U+200D U+1F33E,👨🏽‍🌾,—,,,,—,—,—,—,—,—,—,—,—,man farmer: medium skin tone,2015,farmer | gardener | man | medium skin tone | rancher
199,U+1F468 U+1F3FE U+200D U+1F33E,👨🏾‍🌾,—,,,,—,—,—,—,—,—,—,—,—,man farmer: medium-dark skin tone,2015,farmer | gardener | man | medium-dark skin tone | rancher
200,U+1F468 U+1F3FF U+200D U+1F33E,👨🏿‍🌾,—,,,,—,—,—,—,—,—,—,—,—,man farmer: dark skin tone,2015,dark skin tone | farmer | gardener | man | rancher
201,U+1F469 U+200D U+1F33E,👩‍🌾,—,,,,—,—,—,—,—,—,—,—,—,woman farmer,2010,farmer | gardener | rancher | woman
202,U+1F469 U+1F3FB U+200D U+1F33E,👩🏻‍🌾,—,,,,—,—,—,—,—,—,—,—,—,woman farmer: light skin tone,2015,farmer | gardener | light skin tone | rancher | woman
203,U+1F469 U+1F3FC U+200D U+1F33E,👩🏼‍🌾,—,,,,—,—,—,—,—,—,—,—,—,woman farmer: medium-light skin tone,2015,farmer | gardener | medium-light skin tone | rancher | woman
204,U+1F469 U+1F3FD U+200D U+1F33E,👩🏽‍🌾,—,,,,—,—,—,—,—,—,—,—,—,woman farmer: medium skin tone,2015,farmer | gardener | medium skin tone | rancher | woman
