№,Code,Brow.,Chart,Applᵈ,Goog,Twtr.,One,FB,FBM,Sams.,Wind.,GMail,SB,DCM,KDDI,Name,Date,Keywords
1709,U+1F38B,🎋,,,,,,,,,,,—,—,,tanabata tree,2010,banner | celebration | Japanese | tree
1710,U+1F38D,🎍,,,,,,,,,,,,—,,pine decoration,2010,bamboo | celebration | Japanese | pine
1711,U+1F38E,🎎,,,,,,,,,,,,—,,Japanese dolls,2010,celebration | doll | festival | Japanese
1712,U+1F38F,🎏,,,,,,,,,,,,—,,carp streamer,2010,carp | celebration | streamer
1713,U+1F390,🎐,,,,,,,,,,,,—,,wind chime,2010,bell | celebration | chime | wind
1714,U+1F391,🎑,,,,,,—,,,,,,—,,moon viewing ceremony,2010,celebration | ceremony | moon
1715,U+1F380,🎀,,,,,,,,,,,,,,ribbon,2010,celebration
1716,U+1F381,🎁,,,,,,,,,,,,,,wrapped gift,2010,box | celebration | gift | present | wrapped
1717,U+1F397,🎗,,,,,,—,—,,,—,—,—,—,reminder ribbon,2014,celebration | reminder | ribbon
1718,U+1F39F,🎟,,,,,,—,—,,,—,—,—,—,admission tickets,2014,admission | ticket
1719,U+1F3AB,🎫,,,,,,,,,,,,,,ticket,2010,admission
1720,U+1F396,🎖,,,,,,,—,,,—,—,—,—,military medal,2014,celebration | medal | military
1721,U+1F3C6,🏆,,,,,,,,,,,,—,,trophy,2010,prize
1722,U+1F3C5,🏅,,,,,,,—,,,—,—,—,—,sports medal,2014,medal
1723,U+1F947,🥇,,,,,,,—,,,—,—,—,—,1st place medal,2016,first | gold | medal
1724,U+1F948,🥈,,,,,,,—,,,—,—,—,—,2nd place medal,2016,medal | second | silver
1725,U+1F949,🥉,,,,,,,—,,,—,—,—,—,3rd place medal,2016,bronze | medal | third
1726,U+26BD,⚽,,,,,,,,,,,,,,soccer ball,2009,ball | football | soccer
1727,U+26BE,⚾,,,,,,,,,,,,,,baseball,2009,ball
1728,U+1F3C0,🏀,,,,,,,,,,,,,,basketball,2010,ball | hoop
1729,U+1F3D0,🏐,,,,,,,—,,,—,—,—,—,volleyball,2015,ball | game
1730,U+1F3C8,🏈,,,,,,,,,,,,—,,american football,2010,american | ball | football
1731,U+1F3C9,🏉,,,,,,,,,,—,—,—,—,rugby football,2010,ball | football | rugby
1732,U+1F3BE,🎾,,,,,,,,,,,,,,tennis,2010,ball | racquet
1733,U+1F3B1,🎱,,,,,,,,,,,,—,,pool 8 ball,2010,8 | 8 ball | ball | billiard | eight | game
1734,U+1F3B3,🎳,,,,,,,,,,,—,—,,bowling,2010,ball | game
1735,U+1F3CF,🏏,,,,,,,—,,,—,—,—,—,cricket,2015,ball | bat | game
1736,U+1F3D1,🏑,,,,,,,—,,,—,—,—,—,field hockey,2015,ball | field | game | hockey | stick
1737,U+1F3D2,🏒,,,,,,,—,,,—,—,—,—,ice hockey,2015,game | hockey | ice | puck | stick
1738,U+1F3D3,🏓,,,,,,,—,,,—,—,—,—,ping pong,2015,ball | bat | game | paddle | ping pong | table tennis
1739,U+1F3F8,🏸,,,,,,—,—,,,—,—,—,—,badminton,2015,birdie | game | racquet | shuttlecock
1740,U+1F94A,🥊,,,,,,,—,,,—,—,—,—,boxing glove,2016,boxing | glove
1741,U+1F94B,🥋,,,,,,—,—,,,—,—,—,—,martial arts uniform,2016,judo | karate | martial arts | taekwondo | uniform
1742,U+1F945,🥅,,,,,,—,—,,,—,—,—,—,goal net,2016,goal | net
1743,U+1F3AF,🎯,,,,,,,,,,,,—,,direct hit,2010,bull | bullseye | dart | eye | game | hit | target
1744,U+26F3,⛳,,,,,,,,,,,,,,flag in hole,2009,golf | hole
1745,U+26F8,⛸,,,,,,—,—,,,—,—,—,—,ice skate,2009,ice | skate
1746,U+1F3A3,🎣,,,,,,—,,,,,—,—,,fishing pole,2010,fish | pole
1747,U+1F3BD,🎽,,,,,,—,,,,,—,,—,running shirt,2010,athletics | running | sash | shirt
1748,U+1F3BF,🎿,,,,,,,,,,,,,,skis,2010,ski | snow
1749,U+1F3AE,🎮,,,,,,,,,,,—,,,video game,2010,controller | game
1750,U+1F579,🕹,,,,,,,—,,,—,—,—,—,joystick,2014,game | video game
1751,U+1F3B2,🎲,,,,,,,,,,,—,—,,game die,2010,dice | die | game
1752,U+2660,♠,,,,,,,,,,,,,,spade suit,1995ᶻ,card | game
1753,U+2665,♥,,,,,,,,,,,,,,heart suit,1995ᶻ,card | game
1754,U+2666,♦,,,,,,,,,,,,,,diamond suit,1995ᶻ,card | game
1755,U+2663,♣,,,,,,,,,,,,,,club suit,1995ᶻ,card | game
1756,U+1F0CF,🃏,,,,,,—,,,,,—,—,,joker,2010,card | game | wildcard
1757,U+1F004,🀄,,,,,,,,,,,,—,,mahjong red dragon,2008,game | mahjong | red
1758,U+1F3B4,🎴,,,,,,—,,,,,—,—,,flower playing cards,2010,card | flower | game | Japanese | playing
1759,U+1F507,🔇,,,,,,—,,,,—,—,—,—,muted speaker,2010,mute | quiet | silent | speaker
1760,U+1F508,🔈,,,,,,,,,,—,—,—,—,speaker low volume,2010,soft
1761,U+1F509,🔉,,,,,,,,,,—,—,—,—,speaker medium volume,2010,medium
1762,U+1F50A,🔊,,,,,,,,,,,,—,,speaker high volume,2010,loud
1763,U+1F4E2,📢,,,,,,,,,,,,—,—,loudspeaker,2010,loud | public address
1764,U+1F4E3,📣,,,,,,,,,,,,—,—,megaphone,2010,cheering
1765,U+1F4EF,📯,,,,,,,,,,—,—,—,—,postal horn,2010,horn | post | postal
1766,U+1F514,🔔,,,,,,,,,,,,,,bell,2010,bell
1767,U+1F515,🔕,,,,,,—,,,,—,—,—,—,bell with slash,2010,bell | forbidden | mute | no | not | prohibited | quiet | silent
1768,U+1F3BC,🎼,,,,,,,,,,,—,—,,musical score,2010,music | score
1769,U+1F3B5,🎵,,,,,,,,,,,,,,musical note,2010,music | note
1770,U+1F3B6,🎶,,,,,,,,,,,,,,musical notes,2010,music | note | notes
1771,U+1F399,🎙,,,,,,,—,,,—,—,—,—,studio microphone,2014,mic | microphone | music | studio
1772,U+1F39A,🎚,,,,,,,—,,,—,—,—,—,level slider,2014,level | music | slider
1773,U+1F39B,🎛,,,,,,,—,,,—,—,—,—,control knobs,2014,control | knobs | music
1774,U+1F3A4,🎤,,,,,,,,,,,,,,microphone,2010,karaoke | mic
1775,U+1F3A7,🎧,,,,,,,,,,,,,,headphone,2010,earbud
1776,U+1F4FB,📻,,,,,,,,,,,,—,,radio,2010,video
1777,U+1F3B7,🎷,,,,,,,,,,,,—,—,saxophone,2010,instrument | music | sax
1778,U+1F3B8,🎸,,,,,,,,,,,,—,,guitar,2010,instrument | music
1779,U+1F3B9,🎹,,,,,,—,,,,,—,—,,musical keyboard,2010,instrument | keyboard | music | piano
1780,U+1F3BA,🎺,,,,,,,,,,,,—,,trumpet,2010,instrument | music
1781,U+1F3BB,🎻,,,,,,,,,,,—,—,,violin,2010,instrument | music
1782,U+1F941,🥁,,,,,—,,—,,,—,—,—,—,drum,2016,drum | drumsticks | music
1783,U+1F4F1,📱,,,,,,,,,,,,,,mobile phone,2010,cell | mobile | phone | telephone
1784,U+1F4F2,📲,,,,,,,,,,,,,,mobile phone with arrow,2010,arrow | call | cell | mobile | phone | receive | telephone
1785,U+260E,☎,,,,,,,,,,,,,,telephone,1995ᶻ,phone
1786,U+1F4DE,📞,,,,,,,,,,,—,—,,telephone receiver,2010,phone | receiver | telephone
1787,U+1F4DF,📟,,,,,,,,,,,—,,,pager,2010,pager
1788,U+1F4E0,📠,,,,,,,,,,,,,,fax machine,2010,fax
1789,U+1F50B,🔋,,,,,,,,,,,—,—,,battery,2010,battery
1790,U+1F50C,🔌,,,,,,,,,,,—,—,,electric plug,2010,electric | electricity | plug
1791,U+1F4BB,💻,,,,,,,,,,,,,,laptop computer,2010,computer | pc | personal
1792,U+1F5A5,🖥,,,,,,,—,,,—,—,—,—,desktop computer,2014,computer | desktop
1793,U+1F5A8,🖨,,,,,,,—,,,—,—,—,—,printer,2014,computer
1794,U+2328,⌨,,,,,,,—,,,—,—,—,—,keyboard,1995,computer
1795,U+1F5B1,🖱,,,,,,,—,,,—,—,—,—,computer mouse,2014,computer
1796,U+1F5B2,🖲,,,,,,,—,,,—,—,—,—,trackball,2014,computer
1797,U+1F4BD,💽,,,,,,,,,,,,—,,computer disk,2010,computer | disk | minidisk | optical
1798,U+1F4BE,💾,,,,,,,,,,,—,—,,floppy disk,2010,computer | disk | floppy
1799,U+1F4BF,💿,,,,,,,,,,,,,,optical disk,2010,cd | computer | disk | optical
1800,U+1F4C0,📀,,,,,,,,,,,,—,—,dvd,2010,blu-ray | computer | disk | dvd | optical
1801,U+1F3A5,🎥,,,,,,,,,,,,,,movie camera,2010,camera | cinema | movie
1802,U+1F39E,🎞,,,,,,,—,,,—,—,—,—,film frames,2014,cinema | film | frames | movie
1803,U+1F4FD,📽,,,,,,,—,,,—,—,—,—,film projector,2014,cinema | film | movie | projector | video
1804,U+1F3AC,🎬,,,,,,,,,,,,,,clapper board,2010,clapper | movie
1805,U+1F4FA,📺,,,,,,,,,,,,,,television,2010,tv | video
1806,U+1F4F7,📷,,,,,,,,,,,,,,camera,2010,video
1807,U+1F4F8,📸,,,,,,,—,,,—,—,—,—,camera with flash,2014,camera | flash | video
1808,U+1F4F9,📹,,,,,,,,,,,—,—,,video camera,2010,camera | video
1809,U+1F4FC,📼,,,,,,,,,,,,—,,videocassette,2010,tape | vhs | video
1810,U+1F50D,🔍,,,,,,,,,,,,,,left-pointing magnifying glass,2010,glass | magnifying | search | tool
1811,U+1F50E,🔎,,,,,,,,,,,—,—,,right-pointing magnifying glass,2010,glass | magnifying | search | tool
1812,U+1F52C,🔬,,,,,,,,,,—,—,—,—,microscope,2010,science | tool
1813,U+1F52D,🔭,,,,,,,,,,—,—,—,—,telescope,2010,science | tool
1814,U+1F4E1,📡,,,,,,,,,,,,—,,satellite antenna,2010,antenna | dish | satellite
1815,U+1F56F,🕯,,,,,,—,—,,,—,—,—,—,candle,2014,light
1816,U+1F4A1,💡,,,,,,,,,,,,,,light bulb,2010,bulb | comic | electric | idea | light
1817,U+1F526,🔦,,,,,,,,,,,—,—,,flashlight,2010,electric | light | tool | torch
1818,U+1F3EE,🏮,,,,,,,,,,,—,—,,red paper lantern,2010,bar | Japanese | lantern | light | red
1819,U+1F4D4,📔,,,,,,,,,,,—,—,,notebook with decorative cover,2010,book | cover | decorated | notebook
1820,U+1F4D5,📕,,,,,,,,,,,—,—,,closed book,2010,book | closed
1821,U+1F4D6,📖,,,,,,,,,,,,,,open book,2010,book | open
1822,U+1F4D7,📗,,,,,,,,,,,—,—,,green book,2010,book | green
1823,U+1F4D8,📘,,,,,,,,,,,—,—,,blue book,2010,blue | book
1824,U+1F4D9,📙,,,,,,,,,,,—,—,,orange book,2010,book | orange
1825,U+1F4DA,📚,,,,,,,,,,,—,—,,books,2010,book
1826,U+1F4D3,📓,,,,,,,,,,,—,—,,notebook,2010,notebook
1827,U+1F4D2,📒,,,,,,—,,,,,—,—,,ledger,2010,notebook
1828,U+1F4C3,📃,,,,,,,,,,,—,—,,page with curl,2010,curl | document | page
1829,U+1F4DC,📜,,,,,,—,,,,,—,—,,scroll,2010,paper
1830,U+1F4C4,📄,,,,,,,,,,,—,—,,page facing up,2010,document | page
1831,U+1F4F0,📰,,,,,,,,,,,—,—,,newspaper,2010,news | paper
1832,U+1F5DE,🗞,,,,,,,—,,,—,—,—,—,rolled-up newspaper,2014,news | newspaper | paper | rolled
1833,U+1F4D1,📑,,,,,,,,,,,—,—,,bookmark tabs,2010,bookmark | mark | marker | tabs
1834,U+1F516,🔖,,,,,,,,,,,—,—,,bookmark,2010,mark
1835,U+1F3F7,🏷,,,,,,,—,,,—,—,—,—,label,2014,label
1836,U+1F4B0,💰,,,,,,,,,,,,,,money bag,2010,bag | dollar | money | moneybag
1837,U+1F4B4,💴,,,,,,,,,,,—,,,yen banknote,2010,bank | banknote | bill | currency | money | note | yen
1838,U+1F4B5,💵,,,,,,,,,,,—,—,,dollar banknote,2010,bank | banknote | bill | currency | dollar | money | note
1839,U+1F4B6,💶,,,,,,,,,,—,—,—,—,euro banknote,2010,bank | banknote | bill | currency | euro | money | note
1840,U+1F4B7,💷,,,,,,,,,,—,—,—,—,pound banknote,2010,bank | banknote | bill | currency | money | note | pound
1841,U+1F4B8,💸,,,,,,,,,,,—,—,,money with wings,2010,bank | banknote | bill | dollar | fly | money | note | wings
1842,U+1F4B3,💳,,,,,,,,,,,—,—,,credit card,2010,bank | card | credit | money
1843,U+1F4B9,💹,,,,,,—,,—,,,,—,,chart increasing with yen,2010,bank | chart | currency | graph | growth | market | money | rise | trend | upward | yen
1844,U+1F4B1,💱,,,,,,,,,,,,—,—,currency exchange,2010,bank | currency | exchange | money
1845,U+1F4B2,💲,,,,,,,,,,,—,—,,heavy dollar sign,2010,currency | dollar | money
1846,U+2709,✉,,,,,,,,,,,—,,,envelope,1995ᶻ,email | letter
1847,U+1F4E7,📧,,,,,,,,,,,—,—,,e-mail,2010,email | letter | mail
1848,U+1F4E8,📨,,,,,,,,,,,—,—,,incoming envelope,2010,e-mail | email | envelope | incoming | letter | mail | receive
1849,U+1F4E9,📩,,,,,,,,,,,,,,envelope with arrow,2010,arrow | down | e-mail | email | envelope | letter | mail | outgoing | sent
1850,U+1F4E4,📤,,,,,,,,,,,—,—,,outbox tray,2010,box | letter | mail | outbox | sent | tray
1851,U+1F4E5,📥,,,,,,,,,,,—,—,,inbox tray,2010,box | inbox | letter | mail | receive | tray
1852,U+1F4E6,📦,,,,,,,,,,,—,—,,package,2010,box | parcel
1853,U+1F4EB,📫,,,,,,,,,,,,—,,closed mailbox with raised flag,2010,closed | mail | mailbox | postbox
1854,U+1F4EA,📪,,,,,,,,,,,—,—,,closed mailbox with lowered flag,2010,closed | lowered | mail | mailbox | postbox
1855,U+1F4EC,📬,,,,,,,,,,—,—,—,—,open mailbox with raised flag,2010,mail | mailbox | open | postbox
1856,U+1F4ED,📭,,,,,,,,,,—,—,—,—,open mailbox with lowered flag,2010,lowered | mail | mailbox | open | postbox
1857,U+1F4EE,📮,,,,,,,,,,,,—,—,postbox,2010,mail | mailbox
1858,U+1F5F3,🗳,,,,,,,—,,,—,—,—,—,ballot box with ballot,2014,ballot | box
1859,U+270F,✏,,,,,,,,,,,—,,,pencil,1995ᶻ,pencil
1860,U+2712,✒,,,,,,,,,,,—,,,black nib,1995ᶻ,nib | pen
1861,U+1F58B,🖋,,,,,,,—,,,—,—,—,—,fountain pen,2014,fountain | pen
1862,U+1F58A,🖊,,,,,,,—,,,—,—,—,—,pen,2014,ballpoint
1863,U+1F58C,🖌,,,,,,,—,,,—,—,—,—,paintbrush,2014,painting
1864,U+1F58D,🖍,,,,,,,—,,,—,—,—,—,crayon,2014,crayon
1865,U+1F4DD,📝,,,,,,,,,,,,,,memo,2010,pencil
1866,U+1F4BC,💼,,,,,,,,,,,,—,,briefcase,2010,briefcase
1867,U+1F4C1,📁,,,,,,—,,,,,—,—,,file folder,2010,file | folder
1868,U+1F4C2,📂,,,,,,,,,,,—,—,,open file folder,2010,file | folder | open
1869,U+1F5C2,🗂,,,,,,,—,,,—,—,—,—,card index dividers,2014,card | dividers | index
1870,U+1F4C5,📅,,,,,,,,,,,—,—,,calendar,2010,date
1871,U+1F4C6,📆,,,,,,,,,,,—,—,,tear-off calendar,2010,calendar
1872,U+1F5D2,🗒,,,,,,,—,,,—,—,—,—,spiral notepad,2014,note | pad | spiral
1873,U+1F5D3,🗓,,,,,,,—,,,—,—,—,—,spiral calendar,2014,calendar | pad | spiral
1874,U+1F4C7,📇,,,,,,,,,,,—,—,,card index,2010,card | index | rolodex
1875,U+1F4C8,📈,,,,,,,,,,,—,—,,chart increasing,2010,chart | graph | growth | trend | upward
1876,U+1F4C9,📉,,,,,,,,,,,—,—,,chart decreasing,2010,chart | down | graph | trend
1877,U+1F4CA,📊,,,,,,,,,,,—,—,,bar chart,2010,bar | chart | graph
1878,U+1F4CB,📋,,,,,,,,,,,—,—,,clipboard,2010,clipboard
1879,U+1F4CC,📌,,,,,,,,,,,—,—,,pushpin,2010,pin
1880,U+1F4CD,📍,,,,,,,,,,,—,—,,round pushpin,2010,pin | pushpin
1881,U+1F4CE,📎,,,,,,,,,,,—,,,paperclip,2010,paperclip
1882,U+1F587,🖇,,,,,,,—,,,—,—,—,—,linked paperclips,2014,link | paperclip
1883,U+1F4CF,📏,,,,,,,,,,,—,—,,straight ruler,2010,ruler | straight edge
1884,U+1F4D0,📐,,,,,,—,,,,,—,—,,triangular ruler,2010,ruler | set | triangle
1885,U+2702,✂,,,,,,,,,,,,,,scissors,1995ᶻ,cutting | tool
1886,U+1F5C3,🗃,,,,,,,—,,,—,—,—,—,card file box,2014,box | card | file
1887,U+1F5C4,🗄,,,,,,,—,,,—,—,—,—,file cabinet,2014,cabinet | file | filing
1888,U+1F5D1,🗑,,,,,,,—,,,—,—,—,—,wastebasket,2014,wastebasket
1889,U+1F512,🔒,,,,,,,,,,,,—,,locked,2010,closed
1890,U+1F513,🔓,,,,,,,,,,,,—,—,unlocked,2010,lock | open | unlock
1891,U+1F50F,🔏,,,,,,,,,,,—,—,,locked with pen,2010,ink | lock | nib | pen | privacy
1892,U+1F510,🔐,,,,,,,,,,,—,—,,locked with key,2010,closed | key | lock | secure
1893,U+1F511,🔑,,,,,,,,,,,,,,key,2010,lock | password
1894,U+1F5DD,🗝,,,,,,,—,,,—,—,—,—,old key,2014,clue | key | lock | old
1895,U+1F528,🔨,,,,,,,,,,,,—,,hammer,2010,tool
1896,U+26CF,⛏,,,,,,,—,,,—,—,—,—,pick,2009,mining | tool
1897,U+2692,⚒,,,,,,,—,,,—,—,—,—,hammer and pick,2005,hammer | pick | tool
1898,U+1F6E0,🛠,,,,,,,—,,,—,—,—,—,hammer and wrench,2014,hammer | spanner | tool | wrench
1899,U+1F5E1,🗡,,,,,,,—,,,—,—,—,—,dagger,2014,knife | weapon
1900,U+2694,⚔,,,,,,,—,,,—,—,—,—,crossed swords,2005,crossed | swords | weapon
1901,U+1F52B,🔫,,,,,,,,,,,,—,,pistol,2010,gun | handgun | revolver | tool | weapon
1902,U+1F3F9,🏹,,,,,,,—,,,—,—,—,—,bow and arrow,2015,archer | archery | arrow | bow | Sagittarius | tool | weapon | zodiac
1903,U+1F6E1,🛡,,,,,,,—,,,—,—,—,—,shield,2014,weapon
1904,U+1F527,🔧,,,,,,,,,,,—,,,wrench,2010,spanner | tool | wrench
1905,U+1F529,🔩,,,,,,,,,,,—,—,,nut and bolt,2010,bolt | nut | tool
1906,U+2699,⚙,,,,,,,—,,,—,—,—,—,gear,2005,tool
1907,U+1F5DC,🗜,,,,,,,—,,,—,—,—,—,clamp,2014,compress | tool | vice
1908,U+2697,⚗,,,,,,,—,,,—,—,—,—,alembic,2005,chemistry | tool
1909,U+2696,⚖,,,,,,,—,,,—,—,—,—,balance scale,2005,balance | justice | Libra | scales | tool | weight | zodiac
1910,U+1F517,🔗,,,,,,,,,,,—,—,,link,2010,link
1911,U+26D3,⛓,,,,,,,—,,,—,—,—,—,chains,2009,chain
1912,U+1F489,💉,,,,,,,,,,,,—,,syringe,2010,doctor | medicine | needle | shot | sick | tool
1913,U+1F48A,💊,,,,,,,,,,,,—,,pill,2010,doctor | medicine | sick
1914,U+1F6AC,🚬,,,,,,,,,,,,,,cigarette,2010,smoking
1915,U+26B0,⚰,,,,,,,—,,,—,—,—,—,coffin,2005,death
1916,U+26B1,⚱,,,,,,,—,,,—,—,—,—,funeral urn,2005,ashes | death | funeral | urn
1917,U+1F5FF,🗿,,,,,,—,,,,,—,—,,moai,2010,face | moyai | statue
1918,U+1F6E2,🛢,,,,,,,—,,,—,—,—,—,oil drum,2014,drum | oil
1919,U+1F52E,🔮,,,,,,,,,,,—,—,,crystal ball,2010,ball | crystal | fairy tale | fantasy | fortune | tool
1920,U+1F6D2,🛒,,,,,,—,—,,,—,—,—,—,shopping cart,2016,cart | shopping | trolley
1921,U+1F3E7,🏧,,,,,,,,,,,,,,ATM sign,2010,atm | automated | bank | teller
1922,U+1F6AE,🚮,,,,,,,,,,—,—,—,—,litter in bin sign,2010,litter | litter bin
1923,U+1F6B0,🚰,,,,,,,,,,—,—,—,—,potable water,2010,drinking | potable | water
1924,U+267F,♿,,,,,,,,,,,,,,wheelchair symbol,2005,access
1925,U+1F6B9,🚹,,,,,,,,,,,,—,—,men’s room,2010,lavatory | man | restroom | wc
1926,U+1F6BA,🚺,,,,,,,,,,,,—,—,women’s room,2010,lavatory | restroom | wc | woman
1927,U+1F6BB,🚻,,,,,,,,,,,,,,restroom,2010,lavatory | restroom | WC
1928,U+1F6BC,🚼,,,,,,,,,,,,—,—,baby symbol,2010,baby | changing
1929,U+1F6BE,🚾,,,,,,,,,,,,—,—,water closet,2010,closet | lavatory | restroom | water | wc
1930,U+1F6C2,🛂,,,,,,,,,,—,—,—,—,passport control,2010,control | passport
1931,U+1F6C3,🛃,,,,,,,,,,—,—,—,—,customs,2010,customs
1932,U+1F6C4,🛄,,,,,,,,,,—,—,—,—,baggage claim,2010,baggage | claim
1933,U+1F6C5,🛅,,,,,,,,,,—,—,—,—,left luggage,2010,baggage | locker | luggage
1934,U+26A0,⚠,,,,,,,,,,,,,,warning,2003,warning
1935,U+1F6B8,🚸,,,,,,,,,,—,—,—,—,children crossing,2010,child | crossing | pedestrian | traffic
1936,U+26D4,⛔,,,,,,,,,,,—,—,,no entry,2009,entry | forbidden | no | not | prohibited | traffic
1937,U+1F6AB,🚫,,,,,,,,,,,—,—,,prohibited,2010,entry | forbidden | no | not
1938,U+1F6B3,🚳,,,,,,,,,,—,—,—,—,no bicycles,2010,bicycle | bike | forbidden | no | not | prohibited
1939,U+1F6AD,🚭,,,,,,,,,,,,,,no smoking,2010,forbidden | no | not | prohibited | smoking
1940,U+1F6AF,🚯,,,,,,,,,,—,—,—,—,no littering,2010,forbidden | litter | no | not | prohibited
1941,U+1F6B1,🚱,,,,,,,,,,—,—,—,—,non-potable water,2010,non-drinking | non-potable | water
1942,U+1F6B7,🚷,,,,,,,,,,—,—,—,—,no pedestrians,2010,forbidden | no | not | pedestrian | prohibited
1943,U+1F4F5,📵,,,,,,,,,,—,—,—,—,no mobile phones,2010,cell | forbidden | mobile | no | not | phone | prohibited | telephone
1944,U+1F51E,🔞,,,,,,,,,,,,—,,no one under eighteen,2010,18 | age restriction | eighteen | forbidden | no | not | prohibited | underage
1945,U+2622,☢,,,,,,,—,,,—,—,—,—,radioactive,1995,radioactive | sign
1946,U+2623,☣,,,,,,,—,,,—,—,—,—,biohazard,1995,biohazard | sign
1947,U+2B06,⬆,,,,,,,,,,—,,—,,up arrow,2003,arrow | cardinal | direction | north
1948,U+2197,↗,,,,,,,,,,,,,,up-right arrow,1995,arrow | direction | intercardinal | northeast
1949,U+27A1,➡,,,,,,,,,,—,,—,,right arrow,1995ᶻ,arrow | cardinal | direction | east
1950,U+2198,↘,,,,,,,,,,,,,,down-right arrow,1995,arrow | direction | intercardinal | southeast
1951,U+2B07,⬇,,,,,,,,,,—,,—,,down arrow,2003,arrow | cardinal | direction | down | south
1952,U+2199,↙,,,,,,,,,,,,,,down-left arrow,1995,arrow | direction | intercardinal | southwest
1953,U+2B05,⬅,,,,,,,,,,—,,—,,left arrow,2003,arrow | cardinal | direction | west
1954,U+2196,↖,,,,,,,,,,,,,,up-left arrow,1995,arrow | direction | intercardinal | northwest
1955,U+2195,↕,,,,,,,,,,,—,,,up-down arrow,1995ᶻ,arrow
1956,U+2194,↔,,,,,,,,,,,—,,,left-right arrow,1995ᶻ,arrow
1957,U+21A9,↩,,,,,,,,,,—,—,,,right arrow curving left,1995,arrow
1958,U+21AA,↪,,,,,,,,,,,—,—,,left arrow curving right,1995,arrow
1959,U+2934,⤴,,,,,,,,,,,—,,,right arrow curving up,2002,arrow
1960,U+2935,⤵,,,,,,,,,,,—,,,right arrow curving down,2002,arrow | down
1961,U+1F503,🔃,,,,,,,,,,,—,—,,clockwise vertical arrows,2010,arrow | clockwise | reload
1962,U+1F504,🔄,,,,,,,,,,—,—,—,—,anticlockwise arrows button,2010,anticlockwise | arrow | counterclockwise | withershins
1963,U+1F519,🔙,,,,,,,,,,,—,—,,BACK arrow,2010,arrow | back
1964,U+1F51A,🔚,,,,,,,,,,,—,,—,END arrow,2010,arrow | end
1965,U+1F51B,🔛,,,,,,,,,,,—,,—,ON! arrow,2010,arrow | mark | on
1966,U+1F51C,🔜,,,,,,,,,,,—,,—,SOON arrow,2010,arrow | soon
1967,U+1F51D,🔝,,,,,,,,,,,,—,—,TOP arrow,2010,arrow | top | up
1968,U+1F6D0,🛐,,,,,,,—,,,—,—,—,—,place of worship,2015,religion | worship
1969,U+269B,⚛,,,,,,,—,,,—,—,—,—,atom symbol,2005,atheist | atom
1970,U+1F549,🕉,,,,,,,—,,,—,—,—,—,om,2014,Hindu | religion
1971,U+2721,✡,,,,,,,—,,,—,—,—,—,star of David,1995,David | Jew | Jewish | religion | star
1972,U+2638,☸,,,,,,,—,,,—,—,—,—,wheel of dharma,1995,Buddhist | dharma | religion | wheel
1973,U+262F,☯,,,,,,,—,,,—,—,—,—,yin yang,1995,religion | tao | taoist | yang | yin
1974,U+271D,✝,,,,,,,—,,,—,—,—,—,latin cross,1995,Christian | cross | religion
1975,U+2626,☦,,,,,,,—,,,—,—,—,—,orthodox cross,1995,Christian | cross | religion
1976,U+262A,☪,,,,,,,—,,,—,—,—,—,star and crescent,1995,islam | Muslim | religion
1977,U+262E,☮,,,,,,,—,,,—,—,—,—,peace symbol,1995,peace
1978,U+1F54E,🕎,,,,,,,—,,,—,—,—,—,menorah,2015,candelabrum | candlestick | religion
1979,U+1F52F,🔯,,,,,,,,,,,,—,—,dotted six-pointed star,2010,fortune | star
1980,U+2648,♈,,,,,,,,,,,,,,Aries,1995,ram | zodiac
1981,U+2649,♉,,,,,,,,,,,,,,Taurus,1995,bull | ox | zodiac
1982,U+264A,♊,,,,,,,,,,,,,,Gemini,1995,twins | zodiac
1983,U+264B,♋,,,,,,,,,,,,,,Cancer,1995,crab | zodiac
1984,U+264C,♌,,,,,,,,,,,,,,Leo,1995,lion | zodiac
1985,U+264D,♍,,,,,,,,,,,,,,Virgo,1995,zodiac
1986,U+264E,♎,,,,,,,,,,,,,,Libra,1995,balance | justice | scales | zodiac
1987,U+264F,♏,,,,,,,,,,,,,,Scorpius,1995,scorpio | scorpion | zodiac
1988,U+2650,♐,,,,,,,,,,,,,,Sagittarius,1995,archer | zodiac
1989,U+2651,♑,,,,,,,,,,,,,,Capricorn,1995,goat | zodiac
1990,U+2652,♒,,,,,,,,,,,,,,Aquarius,1995,bearer | water | zodiac
1991,U+2653,♓,,,,,,,,,,,,,,Pisces,1995,fish | zodiac
1992,U+26CE,⛎,,,,,,,,,,,,—,,Ophiuchus,2010,bearer | serpent | snake | zodiac
1993,U+1F500,🔀,,,,,,,,,,—,—,—,—,shuffle tracks button,2010,arrow | crossed
1994,U+1F501,🔁,,,,,,,,,,—,—,—,—,repeat button,2010,arrow | clockwise | repeat
1995,U+1F502,🔂,,,,,,,,,,—,—,—,—,repeat single button,2010,arrow | clockwise | once
1996,U+25B6,▶,,,,,,,,,,,,—,,play button,1995,arrow | play | right | triangle
1997,U+23E9,⏩,,,,,,,,,,,,—,,fast-forward button,2010,arrow | double | fast | forward
1998,U+23ED,⏭,,,,,,,—,,,—,—,—,—,next track button,2010,arrow | next scene | next track | triangle
1999,U+23EF,⏯,,,,,,,—,,,—,—,—,—,play or pause button,2010,arrow | pause | play | right | triangle
2000,U+25C0,◀,,,,,,,,,,,,—,,reverse button,1995,arrow | left | reverse | triangle
